Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
CNTN5,33,138,14,5,190,3303,0.6100278,90,77,57.5235,0.421364985,0.181122449,0.353977708,1,0.06377551,0.082449576,1,1.159235669,0.000547724,0.046058406,9.94E-42,8.10E-41,1,1,0.421223701,11
CNTN6,31,132,11,4,178,3087,0.5914487,86,65,57.6612,0.353312303,0.168674699,0.389274464,1,0.060240964,0.144054634,1,1.308270677,1.87E-05,0.004031008,1,1,1,1,0.26291294,3
CNTNAP1,31,66,7,2,106,4155,0.449102,32,54,25.5114,0.227129338,0.129963899,0.502069425,1,0.036101083,0.491073213,1,0.594594595,0.751450444,1,0.002340224,0.006151569,1,1,0.089638415,17
CNTNAP2,83,236,20,3,342,3996,0.5243373,118,172,85.5856,0.241338112,0.116493656,0.721104325,1,0.017301038,0.863582881,1,0.685878963,0.481032125,1,7.45E-17,3.14E-16,1,1,0.027799919,7
CNTNAP3,22,45,8,3,78,3867,0.2714615,13,49,20.1707,0.36123348,0.162698413,0.383336543,1,0.03968254,0.202733351,1,0.277227723,0.99981375,1,6.68E-26,3.81E-25,1,1,0.324171995,9
CNTNAP4,42,141,18,4,205,2166,0.4885312,63,111,94.6445,0.426229508,0.161921708,0.417055592,1,0.017793594,0.463099528,1,0.568888889,0.886028028,1,2.35E-10,8.39E-10,1,1,0.244717065,16
CNTNAP5,72,223,15,4,314,3921,0.5588205,129,140,80.0816,0.209078404,0.107496464,0.858189931,1,0.028288543,0.55423984,1,0.918727915,0.077741142,0.666701143,0.787414299,1,1,1,0.034170996,2
CNTRL,21,49,8,3,81,6978,0.4979024,23,36,11.6079,0.377880184,0.219251337,0.382073198,1,0.053475936,0.105590964,1,0.64,0.667735571,1,0.999999989,1,1,1,0.376514103,9
CNTROB,10,33,5,1,49,2778,0.5786522,20,20,17.6386,0.485981308,0.242990654,0.252114949,1,0.046728972,0.464401321,1,0.976744186,0.158085363,0.868619084,0.003220023,0.008385167,1,1,0.337333575,17
COA1,2,4,0,1,7,441,0.179,0,5,15.8730,0.074074074,0.03125,1,1,0.15625,0.163385147,1,0.153846154,1,1,0.999999997,1,1,1,0.131529959,7
COA3,3,4,0,1,8,321,0.4995,2,5,24.9221,0.054054054,0.03125,1,1,0.15625,0.163385147,1,0.461538462,0.853525296,1,0.002533449,0.00664639,1,1,0.139094833,17
COA4,1,3,0,0,4,264,0.464,1,2,15.1515,0.117647059,0.058823529,1,1,0,1,1,0.571428571,0.794171626,1,1,1,1,1,0.065647341,11
COA5,0,2,0,0,2,225,0.017,1,1,8.8889,0.285714286,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.999972099,1,1,1,0.261998356,2
COASY,13,25,5,1,44,1695,0.59145,15,19,25.9587,0.379562044,0.254901961,0.131926071,1,0.049019608,0.448237854,1,0.780487805,0.416787752,1,0.999883185,1,1,1,0.292787673,17
COBL,33,77,4,2,116,3786,0.4513684,34,65,30.6392,0.12462908,0.063253012,0.971016758,1,0.030120482,0.55423984,1,0.526315789,0.870893603,1,0.999999939,1,1,1,0.022417661,7
COBLL1,15,61,9,0,85,3501,0.5422195,29,40,24.2788,0.585987261,0.222222222,0.217622331,1,0.024154589,1,1,0.722891566,0.513513641,1,0.980641638,1,1,1,0.457800676,2
COCH,7,33,3,0,43,1653,0.5654167,19,16,26.0133,0.415584416,0.183908046,0.417349509,1,0,1,1,1.142857143,0.077136923,0.66274275,0.841070507,1,1,1,0.010322994,14
COG1,5,32,2,0,39,2943,0.4937308,19,14,13.2518,0.385964912,0.142857143,0.629715998,1,0,1,1,1.290322581,0.026492305,0.420265181,1,1,1,1,0.061464588,17
COG2,8,32,4,0,44,2217,0.3576522,12,25,19.8466,0.482758621,0.159090909,0.578895917,1,0,1,1,0.490566038,0.911719728,1,0.646515589,1,1,1,0.050736837,1
COG3,8,27,1,5,41,2487,0.4809524,14,17,16.4857,0.137931034,0.065217391,0.926706015,1,0.27173913,0.000374148,0.095464932,0.810810811,0.381004083,1,2.30E-78,3.92E-77,1,1,0.156998313,13
COG4,11,41,1,0,53,2370,0.4951786,20,23,22.3629,0.102564103,0.049180328,0.967121117,1,0,1,1,0.857142857,0.222635815,0.943222638,2.20E-07,7.09E-07,1,1,0.083693008,16
COG5,13,48,4,2,67,2583,0.5485152,27,25,25.9388,0.306569343,0.159090909,0.534219355,1,0.075757576,0.186800083,1,1.056603774,0.072116807,0.639495537,0.99985038,1,1,1,0.086960373,7
COG6,10,19,2,0,31,1974,0.5281538,8,20,15.7042,0.205607477,0.102803738,0.824756831,1,0,1,1,0.418604651,0.939197731,1,4.94E-65,6.10E-64,1,1,0.064975637,13
COG7,10,33,3,1,47,2313,0.5047391,15,24,20.3199,0.299065421,0.125984252,0.686108599,1,0.039370079,0.524456907,1,0.62745098,0.681246332,1,0.999999928,1,1,1,0.070272279,16
COL10A1,9,29,2,0,40,2043,0.6132632,20,15,19.5791,0.226804124,0.134146341,0.637311975,1,0,1,1,1.272727273,0.026492305,0.420265181,2.98E-21,1.44E-20,1,1,0.223326252,6
COL11A2,33,83,9,5,130,5211,0.7003036,60,47,24.9472,0.272997033,0.190082645,0.17787885,1,0.061983471,0.015319606,0.638569691,1.257731959,0.001185793,0.075915035,0.999972928,1,1,1,0.318830818,6
COL12A1,60,193,13,3,269,9192,0.6579635,128,105,29.2646,0.217462932,0.12406015,0.56646996,1,0.018796992,0.500439576,1,1.211267606,0.000677827,0.053281993,0.283763977,0.614115087,1,1,0.126208286,6
COL13A1,15,36,5,2,58,2103,0.71675,25,21,27.5796,0.331210191,0.232142857,0.255388462,1,0.044642857,0.145023725,1,1.155555556,0.045892108,0.525159448,0.990406262,1,1,1,0.301581938,10
COL14A1,50,139,13,7,209,5391,0.5369485,78,90,38.7683,0.26035503,0.144420131,0.584384492,1,0.054704595,0.108445506,1,0.863387978,0.11051482,0.745415987,1,1,1,1,0.022492071,8
COL15A1,48,105,8,6,167,4167,0.5440238,60,82,40.0768,0.168377823,0.098321343,0.843698811,1,0.071942446,0.08580781,1,0.730538922,0.477973696,1,0.999998958,1,1,1,0.161978125,9
COL16A1,33,68,6,5,112,4815,0.54592,40,55,23.2606,0.183976261,0.109929078,0.782580839,1,0.070921986,0.029238045,0.817879874,0.725663717,0.512686205,1,2.06E-25,1.16E-24,1,1,0.018358266,1
COL19A1,34,127,15,10,186,3429,0.5461222,77,75,54.2432,0.438040346,0.19895288,0.232783808,1,0.104712042,0.000467303,0.10379247,1.019607843,0.007853131,0.231654885,0.555839835,1,1,1,0.362631992,6
COL1A1,31,99,9,3,142,4395,0.62875,72,52,32.3094,0.29022082,0.172284644,0.205074614,1,0.037453184,0.225725045,1,1.364485981,6.22E-05,0.010321601,1,1,1,1,0.213241699,17
COL1A2,47,163,8,4,222,4101,0.6333761,110,95,54.1331,0.171907757,0.085062241,0.89630647,1,0.041493776,0.305019299,1,1.150259067,0.001376394,0.085263046,0.999999998,1,1,1,0.018652548,7
COL20A1,21,54,3,3,81,3852,0.4320833,23,42,21.0280,0.147465438,0.073732719,0.889492036,1,0.069124424,0.144711838,1,0.551724138,0.850941829,1,1,1,1,1,0.022003052,20
COL21A1,15,76,7,1,99,2874,0.5840833,49,35,34.4468,0.458598726,0.197802198,0.353661555,1,0.027472527,0.657111102,1,1.369863014,0.000978053,0.068033282,0.99832211,1,1,1,0.35350639,6
COL22A1,62,239,14,14,329,4881,0.6124068,154,121,67.4042,0.226475279,0.116013072,0.751847012,1,0.10620915,0.003462702,0.319328036,1.265306122,0.000226177,0.026107247,1,1,1,1,0.024368828,8
COL23A1,6,26,1,4,37,1623,0.552125,12,14,22.7973,0.179104478,0.077922078,0.858049142,1,0.194805195,0.001620441,0.218890589,0.838709677,0.363449867,1,0.012894801,0.032443694,1,1,0.051909804,5
COL24A1,28,119,13,6,166,5145,0.53425,64,74,32.2643,0.459930314,0.175066313,0.246708156,1,0.079575597,0.030163175,0.839587411,0.860927152,0.113875323,0.754459538,3.22E-09,1.11E-08,1,1,0.216377856,1
COL25A1,17,61,7,5,90,1965,0.6571915,37,33,45.8015,0.406779661,0.209302326,0.377828742,1,0.087209302,0.006044416,0.414335684,1.101449275,0.027225496,0.420265181,0.035301027,0.085479374,1,1,0.447608115,4
COL26A1,10,20,2,0,32,1325,0.6905714,12,12,24.1509,0.205607477,0.164179104,0.28672009,1,0,1,1,0.962962963,0.242370852,0.971784232,0.999999973,1,1,1,0.057777227,7
COL27A1,35,98,7,10,150,5583,0.4935821,49,73,26.8673,0.201680672,0.096774194,0.886972923,1,0.107526882,0.000384663,0.0968033,0.67114094,0.645604922,1,0.999999997,1,1,1,0.190152682,9
COL28A1,19,63,2,0,84,3378,0.526025,36,43,24.8668,0.111675127,0.04954955,0.990326166,1,0,1,1,0.831460674,0.265815658,1,4.77E-05,0.000140105,1,1,0.002949029,7
COL2A1,23,92,10,9,134,4257,0.6280339,56,52,31.4776,0.430379747,0.191011236,0.190259715,1,0.112359551,6.94E-05,0.030352251,1.065420561,0.010951066,0.271476724,0.999994846,1,1,1,0.33242549,12
COL3A1,32,142,14,12,200,4401,0.6642421,97,60,45.4442,0.434250765,0.231270358,0.105141887,1,0.13029316,8.74E-07,0.00066868,1.593495935,2.63E-07,0.000143874,0.999873927,1,1,1,0.497654086,2
COL4A1,45,133,6,8,192,5010,0.7413506,99,64,38.3234,0.135667396,0.094801223,0.873224762,1,0.076452599,0.015319606,0.638569691,1.526717557,2.93E-05,0.005629812,0.978035875,1,1,1,0.025725834,13
COL4A3,30,85,8,1,124,5013,0.7175532,61,45,24.7357,0.267100977,0.176724138,0.417177112,1,0.021551724,0.752761004,1,1.333333333,0.000411228,0.03812988,1.25E-55,1.29E-54,1,1,0.386018856,2
COL4A3BP,8,18,2,1,29,1875,0.6176923,12,12,15.4667,0.252873563,0.164179104,0.593760878,1,0.074626866,0.320579359,1,0.962962963,0.242370852,0.971784232,3.23E-100,9.75E-99,1,1,0.421930939,5
COL4A4,44,151,9,6,210,5073,0.6415444,98,78,41.3956,0.205816555,0.115869018,0.780641689,1,0.050377834,0.103720604,1,1.245283019,0.000466944,0.041319499,2.55E-56,2.66E-55,1,1,0.072035901,2
COL4A5,37,142,9,6,194,5058,0.6703929,68,63,38.3551,0.24403183,0.142857143,0.603410914,1,0.077639752,0.027400299,0.817879874,1.069767442,0.029323443,0.434499271,0.176392403,0.393174696,1,1,0.094518436,X
COL4A6,37,96,7,5,145,5073,0.648629,47,49,28.5827,0.190981432,0.142857143,0.518396385,1,0.119047619,0.045378087,0.978493926,0.95049505,0.092691535,0.735247775,0.205910071,0.455278671,1,1,0.088638417,X
COL5A1,77,173,15,8,273,5517,0.6834455,120,105,49.4834,0.195624196,0.142857143,0.543412262,1,0.065789474,0.158675129,1,1.136150235,0.01103387,0.271476724,0.492402731,1,1,1,0.316145594,9
COL5A2,26,126,11,9,172,4500,0.6694321,87,55,38.2222,0.419475655,0.19858156,0.228465089,1,0.106382979,0.00011515,0.044071283,1.557522124,1.30E-06,0.000514146,0.99993995,1,1,1,0.287469506,2
COL5A3,45,138,16,12,211,5238,0.5117654,72,93,40.2826,0.354485777,0.171610169,0.205306638,1,0.105932203,0.001338945,0.196848858,0.772486772,0.295000865,1,0.001120418,0.003004347,1,1,0.32470075,19
COL6A1,31,41,2,3,77,3087,0.6068667,27,40,24.9433,0.069400631,0.053140097,0.971386806,1,0.072463768,0.131181215,1,0.674698795,0.589554666,1,0.678682218,1,1,1,0.017487818,21
COL6A2,30,82,1,4,117,3060,0.7466346,56,47,38.2353,0.039087948,0.024793388,0.998198446,1,0.061983471,0.062085272,1,1.175257732,0.002998931,0.136598382,0.478083966,0.995777253,1,1,0.008842435,21
COL6A3,121,272,18,10,421,9534,0.5303508,151,211,44.1578,0.149548069,0.085687382,0.858048312,1,0.042372881,0.241318076,1,0.715294118,0.497430253,1,2.87E-88,6.60E-87,1,1,0.035591594,2
COL6A5,13,32,3,0,48,7848,0.3371333,13,30,6.1162,0.233576642,0.101910828,0.798804837,1,0,1,1,0.444444444,0.945776779,1,0.996257357,1,1,1,0.024517556,3
COL6A6,49,197,17,6,269,6792,0.5446016,115,112,39.6054,0.346076459,0.151675485,0.532960117,1,0.035273369,0.17769282,1,1.022026432,0.011431709,0.271476724,0.996341846,1,1,1,0.093327249,3
COL7A1,54,182,13,12,261,8835,0.6364,122,96,29.5416,0.241316271,0.135523614,0.631043995,1,0.102669405,0.002437078,0.271266544,1.261538462,0.000343071,0.033422182,5.69E-75,8.61E-74,1,1,0.27046089,3
COL8A1,18,42,4,0,64,2235,0.667037,26,27,28.6353,0.22459893,0.147887324,0.524234746,1,0,1,1,0.947368421,0.144865052,0.848879762,0.999993709,1,1,1,0.164275565,3
COL9A1,29,86,10,1,126,2766,0.6508871,58,44,45.5531,0.343434343,0.224669604,0.188092669,1,0.022026432,0.752761004,1,1.296703297,0.00116039,0.075665566,0.539762051,1,1,1,0.458645498,6
COL9A3,13,32,2,1,48,2055,0.7306316,21,18,23.3577,0.160583942,0.113402062,0.709259928,1,0.051546392,0.448237854,1,1.128205128,0.093619926,0.735247775,1,1,1,1,0.015513329,20
COLEC10,9,21,1,1,32,834,0.6593571,12,16,38.3693,0.12371134,0.068965517,0.923366124,1,0.057471264,0.396761409,1,0.742857143,0.323358206,1,1,1,1,1,0.021836004,8
COLEC11,16,30,3,0,49,807,0.4272667,11,25,60.7187,0.191616766,0.121212121,0.774540869,1,0,1,1,0.452830189,0.942560047,1,0.722921683,1,1,1,0.030830686,2
COLGALT1,9,25,1,1,36,1869,0.5665714,17,17,19.2616,0.12371134,0.065217391,0.886017504,1,0.054347826,0.41443284,1,0.972972973,0.184162575,0.886481429,0.996075228,1,1,1,0.030734345,19
COLGALT2,17,30,4,1,52,1881,0.6904348,21,25,27.6449,0.237288136,0.159090909,0.526821172,1,0.037878788,0.538387593,1,0.830188679,0.307193602,1,0.931396261,1,1,1,0.093254638,1
COLQ,7,22,3,1,33,1368,0.6170714,14,10,24.1228,0.415584416,0.280701754,0.214496117,1,0,0.278953046,1,1.304347826,0.064984911,0.621617423,2.29E-32,1.56E-31,1,1,0.277111167,3
COMMD1,4,5,0,0,9,573,0.5295,2,5,15.7068,0.042553191,0.03125,1,1,0,1,1,0.461538462,0.853525296,1,0.999954144,1,1,1,0.084955296,2
COMMD10,3,9,1,0,13,609,0.7831667,6,4,21.3465,0.324324324,0.222222222,0.539581068,1,0,1,1,1.272727273,0.182685492,0.886481429,1.88E-30,1.21E-29,1,1,0.076745977,5
COMMD2,1,11,1,1,14,600,0.868,9,1,23.3333,0.705882353,0.5,0.254776601,1,0.416666667,0.057730378,1,4,0.000917067,0.066343878,0.991075276,1,1,1,0.234470453,3
COMMD3,0,5,1,0,6,588,0.001666667,0,3,10.2041,1.714285714,0.272727273,0.416810443,1,0,1,1,0.222222222,1,1,0.999999342,1,1,1,0.079733412,10
COMMD4,3,15,0,0,18,600,0.5442222,9,9,30.0000,0.054054054,0.019230769,1,1,0,1,1,0.952380952,0.291455956,1,0.999999979,1,1,1,0.025647504,15
COMMD5,4,13,1,0,18,675,0.3057,3,10,26.6667,0.255319149,0.105263158,0.731315313,1,0,1,1,0.347826087,0.949609543,1,1,1,1,1,0.019435519,8
COMMD6,0,2,0,0,2,297,0.5055,1,1,6.7340,0.285714286,0.083333333,1,1,0,1,1,0.8,0.651392418,1,2.79E-16,1.16E-15,1,1,0.196170807,13
COMMD7,3,7,0,0,10,603,0.5033333,3,7,16.5837,0.054054054,0.023809524,1,1,0,1,1,0.470588235,0.847652101,1,1,1,1,1,0.033322172,20
COMMD8,1,10,1,1,13,552,0.5657778,5,4,23.5507,0.705882353,0.222222222,0.51809079,1,0.185185185,0.138137518,1,1.090909091,0.286882038,1,0.999582325,1,1,1,0.378986904,4
COMMD9,6,8,1,0,15,597,0.4118,6,8,25.1256,0.179104478,0.127659574,0.658949288,1,0,1,1,0.736842105,0.543660597,1,1,1,1,1,0.038145171,11
COMP,14,36,2,0,52,2274,0.6293478,27,22,22.8672,0.149659864,0.094017094,0.81280462,1,0,1,1,1.191489362,0.042675471,0.505087244,0.999999884,1,1,1,0.049378212,19
COMT,6,10,0,0,16,816,0.98325,7,7,19.6078,0.029850746,0.023809524,1,1,0,1,1,0.941176471,0.334311308,1,1.10E-07,3.60E-07,1,1,0.085817842,22
COMTD1,2,3,1,0,6,789,0.6746667,1,3,7.6046,0.444444444,0.272727273,0.372356416,1,0,1,1,0.444444444,0.878472753,1,0.078631777,0.183160364,1,1,0.367906848,10
COPA,23,51,3,4,81,3675,0.58055,32,41,22.0408,0.135021097,0.075471698,0.909403207,1,0.070754717,0.042380361,0.948318652,0.776470588,0.300506359,1,0.999525531,1,1,1,0.014981783,1
COPB1,11,47,3,3,64,2862,0.5390513,27,30,22.3620,0.273504274,0.101910828,0.819973589,1,0.063694268,0.071519314,1,0.888888889,0.197206827,0.897377981,0.008972433,0.022792884,1,1,0.075752327,11
COPE,4,12,0,0,16,927,0.63425,7,7,17.2600,0.042553191,0.023809524,1,1,0,1,1,0.941176471,0.334311308,1,1,1,1,1,0.044030042,19
COPG1,17,23,2,2,44,2625,0.6088,15,21,16.7619,0.124293785,0.098214286,0.805547311,1,0.089285714,0.145023725,1,0.711111111,0.528853952,1,0.993297033,1,1,1,0.150909842,3
COPRS,1,4,0,0,5,555,0.68875,3,2,9.0090,0.117647059,0.058823529,1,1,0,1,1,1.142857143,0.334104965,1,0.037325848,0.090125324,1,1,0.106066219,17
COPS3,5,16,1,1,23,1272,0.1946,4,17,18.0818,0.210526316,0.065217391,0.938584941,1,0,0.431586601,1,0.27027027,0.994072456,1,0.943407059,1,1,1,0.01728507,17
COPS5,6,14,1,1,22,1005,0.6844,9,9,21.8905,0.179104478,0.115384615,0.750948574,1,0.096153846,0.257193063,1,0.952380952,0.291455956,1,0.999999991,1,1,1,0.066685483,8
COPS6,7,7,2,1,17,984,0.1925714,2,12,17.2764,0.285714286,0.164179104,0.562604778,1,0.074626866,0.320579359,1,0.222222222,0.993297923,1,0.999999999,1,1,1,0.062738357,7
COPS7A,4,8,0,1,13,828,0.369,2,7,15.7005,0.042553191,0.023809524,1,1,0.119047619,0.211683238,1,0.352941176,0.936840034,1,0.988710182,1,1,1,0.046146138,12
COPS7B,2,11,1,0,14,795,0.5043636,6,6,17.6101,0.444444444,0.162162162,0.654012163,1,0,1,1,0.933333333,0.360426272,1,3.16E-78,5.38E-77,1,1,0.126634116,2
COPS8,2,7,0,0,9,630,0.4034,2,6,14.2857,0.074074074,0.027027027,1,1,0,1,1,0.4,0.903272057,1,7.66E-91,1.87E-89,1,1,0.110523279,2
COPZ1,2,8,1,1,12,534,0.3534,4,5,22.4719,0.444444444,0.1875,0.563586271,1,0.15625,0.163385147,1,0.769230769,0.541286766,1,0.999999999,1,1,1,0.298035262,12
COPZ2,3,6,0,0,9,627,0.49175,2,6,14.3541,0.054054054,0.027027027,1,1,0,1,1,0.4,0.785784137,1,1,1,1,1,0.063694719,17
COQ10A,2,14,0,0,16,744,0.5344545,9,6,21.5054,0.074074074,0.027027027,1,1,0,1,1,1.333333333,0.108865355,0.745415987,1,1,1,1,0.034885505,12
COQ10B,4,4,2,0,10,717,0.662,3,5,13.9470,0.468085106,0.34375,0.2194096,1,0,1,1,0.615384615,0.704285014,1,0.996158914,1,1,1,0.188728292,2
COQ2,2,11,2,0,15,1266,0.3411429,3,8,11.8483,0.814814815,0.234042553,0.299701706,1,0,1,1,0.421052632,0.893312979,1,0.47204569,0.984627744,1,1,0.204090177,4
COQ3,1,14,0,1,16,1110,0.5169,8,4,14.4144,0.117647059,0.037037037,1,1,0.185185185,0.138137518,1,1.636363636,0.0376579,0.503116046,5.10E-15,2.09E-14,1,1,0.299429036,6
COQ4,8,11,0,0,19,798,0.6316,7,11,23.8095,0.022988506,0.016129032,1,1,0,1,1,0.64,0.656871406,1,0.999413338,1,1,1,0.082434135,9
COQ5,8,19,1,0,28,984,0.2335,5,20,28.4553,0.137931034,0.056074766,0.943196104,1,0,1,1,0.279069767,0.992659243,1,0.022031459,0.054420209,1,1,0.029477089,12
COQ6,6,17,2,0,25,1407,0.3961818,6,16,17.7683,0.328358209,0.126436782,0.623657901,1,0,1,1,0.4,0.955343357,1,8.80E-08,2.89E-07,1,1,0.216118416,14
COQ7,3,8,3,0,14,654,0.26175,2,9,21.4067,0.864864865,0.307692308,0.241980805,1,0,1,1,0.285714286,0.983264789,1,1,1,1,1,0.407497684,16
CORIN,25,82,6,2,115,3129,0.6186786,46,48,36.7530,0.241245136,0.125506073,0.664924728,1,0.04048583,0.432630671,1,0.949494949,0.057452365,0.610111288,0.999999764,1,1,1,0.023118205,4
CORO1A,12,17,2,1,32,1386,0.3698182,6,20,23.0880,0.173228346,0.102803738,0.73634999,1,0.046728972,0.464401321,1,0.325581395,0.983075896,1,1,1,1,1,0.024170016,16
CORO1B,6,17,1,1,25,1470,0.4853333,9,12,17.0068,0.179104478,0.089552239,0.792304422,1,0.074626866,0.320579359,1,0.740740741,0.51235336,1,1,1,1,1,0.057121452,11
CORO1C,9,26,3,1,39,1425,0.2895,11,22,27.3684,0.329896907,0.136752137,0.646169673,1,0.042735043,0.495321635,1,0.510638298,0.857582731,1,0.053131356,0.125960224,1,1,0.092810635,12
CORO2A,12,28,0,1,41,1578,0.541,14,21,25.9823,0.015748031,0.008928571,1,1,0.044642857,0.480091291,1,0.666666667,0.60898106,1,0.999983498,1,1,1,0.02007947,9
CORO2B,15,37,3,0,55,1443,0.5549231,25,24,38.1150,0.203821656,0.125984252,0.688115371,1,0,1,1,1.019607843,0.099727167,0.745415987,1,1,1,1,0.050759695,15
CORO6,10,20,2,1,33,1419,0.5812,12,18,23.2558,0.205607477,0.113402062,0.692159623,1,0.051546392,0.431586601,1,0.666666667,0.524123223,1,0.944830639,1,1,1,0.142574989,17
CORO7,13,34,3,1,51,2778,0.5345385,14,25,18.3585,0.233576642,0.121212121,0.58673441,1,0.037878788,0.538387593,1,0.566037736,0.78848104,1,0.611773124,1,1,1,0.118600968,16
CORT,2,2,1,0,5,468,0.003,0,4,10.6838,0.444444444,0.222222222,0.482546934,1,0,1,1,0.181818182,1,1,4.12E-122,2.27E-120,1,1,0.322740715,1
COTL1,1,6,0,0,7,429,0.8534,4,1,16.3170,0.117647059,0.083333333,1,1,0,1,1,2,0.094596289,0.735247775,6.24E-32,4.18E-31,1,1,0.350028481,16
COX10,12,20,4,0,36,1332,0.3740833,7,22,27.0270,0.330708661,0.179487179,0.362730201,1,0,1,1,0.340425532,0.986764836,1,0.224650053,0.4936751,1,1,0.124236119,17
COX11,3,11,3,0,17,831,0.545,5,9,20.4573,0.864864865,0.307692308,0.19850689,1,0,1,1,0.571428571,0.744857136,1,0.9999924,1,1,1,0.081822543,17
COX14,0,2,0,0,2,174,0.992,1,1,11.4943,0.285714286,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.999892193,1,1,1,0.253199041,12
COX15,4,15,1,0,20,1233,0.4385455,7,10,16.2206,0.255319149,0.105263158,0.780002854,1,0,1,1,0.695652174,0.656871406,1,1.19E-22,6.05E-22,1,1,0.230887035,10
COX17,1,4,1,0,6,192,0.001,0,4,31.2500,0.705882353,0.222222222,0.618051589,1,0,1,1,0.181818182,1,1,0.998814665,1,1,1,0.183009733,3
COX18,1,9,1,0,11,1002,0.26775,4,5,10.9780,0.705882353,0.1875,0.493270578,1,0,1,1,0.769230769,0.541286766,1,0.999910217,1,1,1,0.289736553,4
COX19,0,12,2,0,14,273,0.6014286,4,5,51.2821,3.142857143,0.34375,0.269231082,1,0,1,1,0.769230769,0.541286766,1,1.09E-11,4.09E-11,1,1,0.410662492,7
COX20,0,3,0,0,3,357,0.2095,1,1,8.4034,0.285714286,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.747162476,1,1,1,0.04302616,1
COX4I1,2,9,1,0,12,510,0.433125,4,6,23.5294,0.444444444,0.162162162,0.6384503,1,0,1,1,0.666666667,0.641425555,1,1.11E-28,6.78E-28,1,1,0.208737832,16
COX4I2,5,8,3,1,17,516,0.53975,6,7,32.9457,0.561403509,0.380952381,0.164383252,1,0.119047619,0.211683238,1,0.823529412,0.453939473,1,1,1,1,1,0.654331412,20
COX5A,1,4,1,0,6,453,0.974,4,1,13.2450,0.705882353,0.5,0.213070786,1,0,1,1,2,0.094596289,0.735247775,1,1,1,1,0.417088284,15
COX5B,1,4,0,0,5,390,0.7726667,3,1,12.8205,0.117647059,0.083333333,1,1,0,1,1,1.6,0.190399759,0.886481429,0.99997098,1,1,1,0.250849039,2
COX6A1,1,4,1,0,6,330,NA,0,5,18.1818,0.705882353,0.1875,0.501754271,1,0,1,1,0.153846154,1,1,0.029690616,0.072571448,1,1,0.140829221,12
COX6A2,1,3,0,0,4,294,0.04,0,4,13.6054,0.117647059,0.037037037,1,1,0,1,1,0.181818182,1,1,1,1,1,1,0.066453279,16
COX6B1,2,7,1,0,10,261,0.352,2,5,38.3142,0.444444444,0.1875,0.59759847,1,0,1,1,0.461538462,0.853525296,1,1,1,1,1,0.083335484,19
COX6B2,1,2,0,0,3,267,0.499,1,2,11.2360,0.117647059,0.058823529,1,1,0,1,1,0.571428571,0.794171626,1,7.17E-13,2.79E-12,1,1,0.106100158,19
COX6C,0,4,1,0,5,228,0.32125,1,3,21.9298,1.714285714,0.272727273,0.429213816,1,0,1,1,0.444444444,0.878472753,1,1,1,1,1,0.074735992,8
COX7A1,2,7,0,0,9,240,0.147,2,4,37.5000,0.074074074,0.037037037,1,1,0,1,1,0.545454545,0.781306607,1,1,1,1,1,0.029782573,19
COX7A2,5,2,0,0,7,252,0.6413333,1,6,27.7778,0.035087719,0.027027027,1,1,0,1,1,0.266666667,0.974986244,1,0.287143932,0.620854441,1,1,0.167620866,6
COX7A2L,2,6,0,0,8,345,0.4345,3,3,23.1884,0.074074074,0.045454545,1,1,0,1,1,0.888888889,0.475518072,1,0.993412285,1,1,1,0.113239603,2
COX7B,0,4,0,0,4,243,0.294,1,2,16.4609,0.285714286,0.058823529,1,1,0,1,1,0.571428571,0.794171626,1,1,1,1,1,0.233379122,X
COX7B2,3,11,1,0,15,246,0.509,4,7,60.9756,0.324324324,0.142857143,0.647940988,1,0,1,1,0.588235294,0.725889762,1,0.999995413,1,1,1,0.355153396,4
COX7C,0,3,0,0,3,192,0.594,2,1,15.6250,0.285714286,0.083333333,1,1,0,1,1,1.2,0.365834001,1,5.34E-72,7.36E-71,1,1,0.287158981,5
COX8A,1,6,0,0,7,210,0.28425,2,3,33.3333,0.117647059,0.045454545,1,1,0,1,1,0.666666667,0.679377095,1,0.999962832,1,1,1,0.08769837,11
COX8C,2,5,1,0,8,219,0.3603333,2,3,36.5297,0.444444444,0.272727273,0.430974205,1,0,1,1,0.666666667,0.781306607,1,2.07E-05,6.18E-05,1,1,0.295502802,14
CP,24,47,8,0,79,3198,0.6449697,29,38,24.7029,0.331983806,0.208121827,0.260887591,1,0.050761421,0.328057286,1,0.759493671,0.339977996,1,0.998342338,1,1,1,0.085774533,3
CPA1,15,27,3,0,45,1260,0.599,19,23,35.7143,0.203821656,0.131147541,0.564625731,1,0,1,1,0.816326531,0.339224541,1,1.75E-06,5.46E-06,1,1,0.056905374,7
